NO_OF_SAMPLES	3000
TOT_NO_OF_CHAN	6
FREQUENCY	100.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2018-06-12, 12:03:29	3873.90348709
FIRST_SAMPLE	1
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Fx	Fy	Fz	Mx	My	Mz
CHANNEL_GAIN	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.003815	-0.009003	0.766155	0.035248	0.106661	0.003510	
-0.004120	-0.008087	0.766766	0.035248	0.105745	0.003510	
-0.003815	-0.008698	0.768902	0.036469	0.107576	0.003815	
-0.004425	-0.006561	0.768902	0.037690	0.107881	0.005646	
-0.005035	-0.005951	0.767681	0.037995	0.108797	0.003815	
-0.004730	-0.005951	0.769818	0.038300	0.109102	0.004425	
-0.005646	-0.005035	0.768902	0.040131	0.108797	0.005035	
-0.004425	-0.005035	0.768292	0.040436	0.109102	0.005341	
-0.005035	-0.005646	0.767987	0.041047	0.107576	0.005341	
-0.003815	-0.005646	0.769207	0.041047	0.107881	0.005646	
-0.003815	-0.004425	0.768597	0.041962	0.107576	0.006256	
-0.002594	-0.003815	0.767987	0.043488	0.106661	0.005341	
-0.003204	-0.002899	0.769207	0.042267	0.105135	0.006256	
-0.002899	-0.002594	0.767987	0.042573	0.105135	0.006256	
-0.003204	-0.002289	0.769818	0.043488	0.105745	0.005951	
-0.003815	-0.002899	0.770428	0.044404	0.104524	0.005646	
-0.003204	-0.002289	0.768597	0.043488	0.103609	0.005341	
-0.004425	-0.001678	0.770123	0.045319	0.102998	0.006256	
-0.003815	-0.001984	0.771954	0.045624	0.102388	0.005646	
-0.002594	-0.002289	0.770733	0.046540	0.101778	0.005646	
-0.000763	-0.001678	0.771038	0.047150	0.100252	0.005951	
-0.001678	-0.000763	0.770428	0.048981	0.099031	0.006256	
0.000153	-0.001678	0.769818	0.047456	0.097200	0.007477	
0.000458	-0.001678	0.767987	0.048066	0.096590	0.006256	
-0.000153	-0.000458	0.767987	0.048066	0.094453	0.005951	
0.001068	-0.001678	0.768902	0.049287	0.092927	0.007172	
0.001373	-0.002289	0.768292	0.048066	0.091402	0.007172	
0.001373	-0.000763	0.766461	0.048371	0.088655	0.006256	
0.001984	-0.001678	0.766461	0.047150	0.087129	0.005341	
0.001984	-0.001678	0.764630	0.047761	0.086519	0.005646	
0.002899	-0.001678	0.766155	0.047456	0.085603	0.006256	
0.001678	-0.001678	0.766766	0.047456	0.084688	0.005341	
0.002289	-0.002289	0.768597	0.047456	0.084382	0.005646	
0.003510	-0.003204	0.768902	0.048371	0.082246	0.004425	
0.002899	-0.002899	0.768902	0.048371	0.082246	0.005341	
0.003204	-0.003815	0.769207	0.047456	0.080720	0.004425	
0.003510	-0.004425	0.771038	0.047761	0.081025	0.003510	
0.002899	-0.003815	0.769207	0.047456	0.078584	0.004120	
0.002899	-0.003815	0.770123	0.046540	0.078584	0.003510	
0.002289	-0.004730	0.769818	0.045930	0.077974	0.003204	
0.002289	-0.003815	0.768292	0.045319	0.078584	0.002289	
0.004120	-0.004730	0.768597	0.045014	0.075532	0.002289	
0.004120	-0.005646	0.769207	0.045319	0.076143	0.001678	
0.003815	-0.005951	0.767681	0.045319	0.075532	0.002899	
0.004425	-0.005646	0.767987	0.044404	0.073091	0.001984	
0.005341	-0.005646	0.766155	0.044099	0.073396	0.001373	
0.005951	-0.005951	0.767071	0.043793	0.070954	0.001984	
0.005646	-0.006256	0.767987	0.043488	0.070039	0.001984	
0.006256	-0.005646	0.766766	0.042573	0.067292	0.001984	
0.007172	-0.005951	0.767071	0.042267	0.066987	0.001373	
0.007172	-0.006561	0.767071	0.042267	0.066377	0.001984	
0.008392	-0.006561	0.767987	0.041657	0.063325	0.002289	
0.008392	-0.005646	0.767681	0.041047	0.062104	0.001678	
0.009003	-0.005035	0.768597	0.040131	0.059663	0.002899	
0.009918	-0.006256	0.767681	0.041962	0.057221	0.001678	
0.010529	-0.005035	0.767071	0.040436	0.056306	0.001984	
0.011139	-0.005951	0.767071	0.040436	0.052644	0.001678	
0.012055	-0.006561	0.767681	0.039216	0.052033	0.001984	
0.013581	-0.007172	0.768292	0.039521	0.049897	0.001373	
0.014496	-0.007782	0.768292	0.039216	0.047456	0.001678	
0.013886	-0.006867	0.769207	0.037385	0.045624	0.001373	
0.015106	-0.007172	0.770123	0.037385	0.043793	0.002289	
0.014496	-0.007172	0.768902	0.037995	0.042267	0.001984	
0.016022	-0.008087	0.770428	0.036164	0.041047	0.002289	
0.015717	-0.008698	0.770123	0.037385	0.041962	0.001373	
0.015412	-0.008698	0.771954	0.037079	0.041047	0.002899	
0.013886	-0.008698	0.770733	0.035554	0.041962	0.002289	
0.014191	-0.009308	0.771038	0.036164	0.043793	0.002899	
0.013275	-0.009003	0.771954	0.035859	0.044709	0.003510	
0.013581	-0.010529	0.772564	0.036469	0.046235	0.002899	
0.012055	-0.009003	0.770733	0.035859	0.048371	0.002899	
0.011444	-0.010529	0.770428	0.036469	0.051118	0.003204	
0.009918	-0.009308	0.769818	0.034333	0.052033	0.003510	
0.009613	-0.009308	0.770428	0.034943	0.054475	0.003510	
0.008392	-0.009003	0.768902	0.035248	0.057221	0.002899	
0.008087	-0.009003	0.768597	0.035248	0.058747	0.002899	
0.008392	-0.010529	0.767987	0.035248	0.060883	0.003204	
0.007782	-0.009308	0.767071	0.035248	0.062715	0.002289	
0.007172	-0.009308	0.767071	0.034943	0.065156	0.002289	
0.005341	-0.009003	0.767987	0.034333	0.067292	0.003204	
0.005341	-0.009308	0.766155	0.035248	0.070039	0.002899	
0.005035	-0.009308	0.766155	0.033417	0.071260	0.003510	
0.003510	-0.009308	0.767681	0.034333	0.073396	0.003204	
0.002289	-0.009003	0.766766	0.033417	0.076448	0.003204	
0.003204	-0.009308	0.767987	0.033417	0.078279	0.003510	
0.002899	-0.009918	0.767987	0.033417	0.080110	0.003510	
0.001678	-0.009308	0.768292	0.033417	0.081331	0.003815	
0.001068	-0.009918	0.767681	0.034028	0.082856	0.003510	
0.000458	-0.009308	0.768597	0.034333	0.084382	0.003510	
0.001373	-0.008087	0.768292	0.033722	0.085603	0.003815	
0.000153	-0.008698	0.769207	0.035248	0.087129	0.003510	
0.000458	-0.007782	0.767987	0.034943	0.088045	0.003510	
-0.000763	-0.008392	0.767681	0.034943	0.089570	0.002899	
-0.000458	-0.007782	0.767681	0.035248	0.091402	0.003815	
-0.001678	-0.006867	0.767071	0.034943	0.093233	0.003510	
-0.002594	-0.006561	0.766461	0.035859	0.094759	0.003815	
-0.002289	-0.008392	0.768902	0.036164	0.095674	0.003815	
-0.001678	-0.008392	0.769207	0.035248	0.097200	0.005035	
-0.002289	-0.008087	0.772564	0.034943	0.098726	0.005646	
0.001068	-0.008392	0.775311	0.034333	0.100252	0.005035	
-0.000153	-0.009308	0.775006	0.033722	0.101472	0.005341	
0.001068	-0.009003	0.772869	0.033722	0.102693	0.003815	
0.000153	-0.008087	0.770428	0.035248	0.102388	0.005646	
0.000153	-0.009003	0.769818	0.034333	0.100862	0.005951	
-0.000458	-0.008698	0.766155	0.034333	0.100862	0.005646	
-0.002289	-0.008087	0.764324	0.035248	0.101472	0.005646	
